"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1366","1.1087324246000270E+0","-2.5574820828697576E-20","-1.9494918605691136E-1","-5.5735273926451614E-4","-2.2087282373324302E-1","-4.6740704265019499E-3","3.0229783451593000E+0","5.5106046937536828E+0","2.4426602887666743E+1","2.3746259058922399E+2","1.215058560962404E-2"
"1365","1.1087328051128864E+0","-2.5573461161670276E-20","-1.9494821787235667E-1","5.6584812503932816E-4","-2.2087401210567079E-1","4.7453906084420419E-3","3.0229779510568102E+0","5.5106110952673868E+0","2.4426631263360850E+1","2.3746191196867500E+2","1.215058560962404E-2"
"1364","1.1087335846493085E+0","-2.5574750439823209E-20","-1.9494623440056652E-1","-5.8286401095429812E-4","-2.2087644667303513E-1","-4.8882522875425749E-3","3.0229771436652899E+0","5.5106242100127050E+0","2.4426689396486644E+1","2.3746052186025400E+2","1.215058560962404E-2"
"1363","1.1087339824918234E+0","-2.5573344281936346E-20","-1.9494522211965881E-1","5.9135868670735618E-4","-2.2087768917848719E-1","4.9595770735075149E-3","3.0229767316000999E+0","5.5106309033822329E+0","2.4426719065876579E+1","2.3745981244864899E+2","1.215058560962404E-2"
"1362","1.1087347967450694E+0","-2.5574675718482308E-20","-1.9494315030907861E-1","-6.0837311907961861E-4","-2.2088023219277503E-1","-5.1024481844283726E-3","3.0229758882221001E+0","5.5106446028430929E+0","2.4426779790843948E+1","2.3745836041808300E+2","1.215058560962404E-2"
"1361","1.1087352119220990E+0","-2.5573426289470904E-20","-1.9494209391968859E-1","6.1686705353442592E-4","-2.2088152884759446E-1","5.1737777840825784E-3","3.0229754581876902E+0","5.5106515881875255E+0","2.4426810754457559E+1","2.3745762000542001E+2","1.215058560962404E-2"
"1360","1.1087360609014560E+0","-2.5574591678222763E-20","-1.9493993374609120E-1","-6.3387996976198594E-4","-2.2088418034074209E-1","-5.3166587474390084E-3","3.0229745788097802E+0","5.5106658726062649E+0","2.4426874072340699E+1","2.3745610608801201E+2","1.215058560962404E-2"
"1359","1.1087364934174826E+0","-2.5573421812488943E-20","-1.9493883323608971E-1","6.4237313168689783E-4","-2.2088553116064824E-1","5.3879933710980002E-3","3.0229741307992701E+0","5.5106731500483805E+0","2.4426906330722215E+1","2.3745533476014700E+2","1.215058560962404E-2"
"1358","1.1087373771326674E+0","-2.5574551760238604E-20","-1.9493658467414152E-1","-6.5938446923223851E-4","-2.2088829116612743E-1","-5.5308846088007639E-3","3.0229732154074198E+0","5.5106880196768886E+0","2.4426972242637664E+1","2.3745375894599900E+2","1.215058560962404E-2"
"1357","1.1087378269928991E+0","-2.5573357447157668E-20","-1.9493544003033869E-1","6.6787682741474336E-4","-2.2088969616897208E-1","5.6022244674114458E-3","3.0229727494136100E+0","5.5106955893430491E+0","2.4427005796347206E+1","2.3745295669901401E+2","1.215058560962404E-2"
