"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1052","1.2652037455300134E+0","3.2506920002528297E-20","6.4169648864213264E-34","1.2942350396459556E-12","-8.0834090859350383E-1","-5.7092820223957846E-33","2.5816549276660701E+0","1.8539636424392370E+1","8.2179790020807559E+1","3.5643442008161101E+0","1.215058560962404E-2"
"1051","1.2653942427551492E+0","2.2262621999041206E-21","5.5521500191015232E-34","8.9043046993942710E-13","-8.0864760927316903E-1","-2.0002917170202538E-33","2.5813502970309101E+0","1.8540106391555089E+1","8.2181873222541668E+1","3.5573208551927800E+0","1.215058560962404E-2"
"1050","1.2655905793971465E+0","3.2506920134198638E-20","1.3684517485097660E-34","1.1232572349301278E-12","-8.0896383569727870E-1","-2.2118924551117737E-33","2.5810361646813500E+0","1.8540590182651229E+1","8.2184017700986914E+1","3.5500988335167398E+0","1.215058560962404E-2"
"1049","1.2657812840307614E+0","2.2262639770500787E-21","-9.9117683661335283E-35","1.3779574254162096E-12","-8.0927111154864351E-1","1.1934382720875897E-33","2.5807308842442400E+0","1.8541059531122521E+1","8.2186098160276103E+1","3.5431000917867301E+0","1.215058560962404E-2"
"1048","1.2659778352320734E+0","3.2506916690978593E-20","4.7501726716728638E-34","1.1073927199252580E-12","-8.0958793181029864E-1","-4.5838167111444937E-33","2.5804160804878702E+0","1.8541542687274482E+1","8.2188239824233605E+1","3.5359033650894198E+0","1.215058560962404E-2"
"1047","1.2661687490388294E+0","2.2262671007878130E-21","6.3303897274832649E-34","1.7134902415416274E-12","-8.0989578546821195E-1","-8.6589264870271342E-33","2.5801101462673302E+0","1.8542011421640979E+1","8.2190317561408833E+1","3.5289291312869100E+0","1.215058560962404E-2"
"1046","1.2663655166165084E+0","3.2506917090432544E-20","3.9845144262647669E-34","1.6917769910439145E-12","-8.1021320228407978E-1","-1.1725085951711989E-33","2.5797946669979899E+0","1.8542493947558604E+1","8.2192456431755716E+1","3.5217576011957101E+0","1.215058560962404E-2"
"1045","1.2665566413597718E+0","2.2262602676620251E-21","-1.0514091671494868E-33","1.2290756696406796E-12","-8.1052163638899100E-1","8.2696967975828584E-33","2.5794880750020099E+0","1.8542962072378469E+1","8.2194531467021747E+1","3.5148077802725601E+0","1.215058560962404E-2"
"1044","1.2667536271294664E+0","3.2506916556077022E-20","-3.7277864600451793E-35","1.1053938484826812E-12","-8.1083965248132595E-1","1.7546604174724286E-33","2.5791719161027999E+0","1.8543443972742086E+1","8.2196667564504267E+1","3.5076613494796001E+0","1.215058560962404E-2"
"1043","1.2669449645710640E+0","2.2262625319074560E-21","-6.7506794674251196E-34","1.1500322264754194E-12","-8.1114866967814458E-1","2.6541486947216430E-33","2.5788646623302900E+0","1.8543911492544584E+1","8.2198739917937772E+1","3.5007358467948801E+0","1.215058560962404E-2"
"1042","1.2671421703468995E+0","3.2506912732386218E-20","-2.9088048521479063E-34","1.2635104984558004E-12","-8.1146728777426858E-1","1.4990374159426139E-33","2.5785478196742302E+0","1.8544392772005221E+1","8.2200873263172326E+1","3.4936144181134101E+0","1.215058560962404E-2"
"1041","1.2673337222471914E+0","2.2262635529586438E-21","-8.4374045766146742E-35","1.1074319427279682E-12","-8.1177689071314951E-1","-9.6441083024512934E-34","2.5782399001136702E+0","1.8544859691291247E+1","8.2202942954724193E+1","3.4867131415138699E+0","1.215058560962404E-2"
"1040","1.2675311498417372E+0","3.2506908644546852E-20","4.0453168715610497E-34","1.0439119503068130E-12","-8.1209611354553590E-1","-2.3720065406372775E-33","2.5779223695633200E+0","1.8545340354470888E+1","8.2205073568198458E+1","3.4796166195197298E+0","1.215058560962404E-2"
"1039","1.2677229179594869E+0","2.2262652105510801E-21","1.4092707898420699E-34","1.2825236206868959E-12","-8.1240630488118792E-1","-2.0459596725496996E-33","2.5776137801936598E+0","1.8545806677713010E+1","8.2207140617694037E+1","3.4727394761380102E+0","1.215058560962404E-2"
"1038","1.2679205691835207E+0","3.2506907213540507E-20","6.4670189052472779E-35","1.0262071525898297E-12","-8.1272613518660131E-1","-3.6544062251950980E-34","2.5772955576021701E+0","1.8546286729203917E+1","8.2209268519763896E+1","3.4656677673010101E+0","1.215058560962404E-2"
"1037","1.2681125552758195E+0","2.2262575837681113E-21","8.6304795237372349E-35","1.2770442391852105E-12","-8.1303691757831298E-1","-2.3184862828443388E-33","2.5769862943925199E+0","1.8546752460846388E+1","8.2211332946903042E+1","3.4588146665373398E+0","1.215058560962404E-2"
"1036","1.2683104319384133E+0","3.2506913555527786E-20","-2.2812818866408134E-34","1.2694360522160977E-12","-8.1335735809823995E-1","2.6573225294688631E-33","2.5766673756028702E+0","1.8547231905212350E+1","8.2213458157798200E+1","3.4517676766286800E+0","1.215058560962404E-2"
